id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,instrumentalness,speechiness,release_decade,live_recording,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.88,0.02,0.06,2020,no,-4.5
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.45,0.75,0.04,2020,no,-9.0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.70,0.05,0.07,2000,no,-3.5
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.30,0.85,0.03,2010,no,-9.5
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.90,0.02,0.08,2020,no,-3.0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.25,0.95,0.03,2010,no,-11.0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.40,0.60,0.05,1990,yes,-8.0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.55,0.40,0.05,1980,no,-5.0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.35,0.80,0.03,2020,no,-9.2
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.65,0.10,0.06,2010,no,-5.5
11,Thunder Chant,Iron Verse,hip hop,hype,0.88,95,0.55,0.85,0.08,0.80,0.02,0.35,2020,no,-4.0
12,Velvet Whisper,Sable Moon,r&b,sensual,0.50,68,0.62,0.70,0.30,0.60,0.05,0.10,2000,no,-6.5
13,Glass Cathedral,Echo Halden,classical,reflective,0.20,66,0.35,0.15,0.97,0.15,0.98,0.02,1990,no,-12.0
14,Desert Static,Voltline,electronic,dark,0.95,140,0.20,0.75,0.03,0.50,0.85,0.04,2020,no,-3.8
15,Open Mic Monday,Wordsmith Lane,spoken word,raw,0.45,85,0.40,0.25,0.55,0.10,0.02,0.90,2010,yes,-7.0
16,Golden Hour Drive,Indigo Parade,indie pop,nostalgic,0.65,100,0.75,0.68,0.45,0.72,0.08,0.05,2010,no,-5.2
17,Dusty Backroads,Dusty Trailhead,country,nostalgic,0.42,96,0.68,0.42,0.80,0.55,0.04,0.07,1990,yes,-6.0
18,Iron Collapse,Grim Foundry,metal,aggressive,0.98,170,0.15,0.35,0.02,0.45,0.10,0.12,2000,no,-2.5
19,Island Sway,Coral Tide,reggae,laid-back,0.55,78,0.80,0.72,0.45,0.50,0.05,0.06,1980,yes,-7.5
20,Neon Pulse Parade,Prism Six,k-pop,euphoric,0.95,126,0.92,0.95,0.03,0.93,0.01,0.10,2020,no,-3.2
